[0214/205854.376:WARNING:backend_impl.cc(1816)] Destroying invalid entry.
[0214/205901.857:INFO:CONSOLE(10)] "[GPT] Div ID passed to googletag.display() does not match any defined slots: brs-gpt-ad-overlay-320x100.", source: https://securepubads.g.doubleclick.net/gpt/pubads_impl_2023020901.js (10)
[0214/205902.360:INFO:CONSOLE(2)] "JQMIGRATE: Migrate is installed with logging active, version 3.0.0", source: https://www.boursorama.com/build/foot40bb893c2b5b51f6059f.js (2)
[0214/205902.362:INFO:CONSOLE(2)] "JQMIGRATE: jQuery.fn.bind() is deprecated", source: https://www.boursorama.com/build/foot40bb893c2b5b51f6059f.js (2)
[0214/205902.362:INFO:CONSOLE(2)] "console.trace", source: https://www.boursorama.com/build/foot40bb893c2b5b51f6059f.js (2)
[0214/205902.510:INFO:CONSOLE(2)] "JQMIGRATE: jQuery.fn.offset() requires a valid DOM element", source: https://www.boursorama.com/build/foot40bb893c2b5b51f6059f.js (2)
[0214/205902.510:INFO:CONSOLE(2)] "console.trace", source: https://www.boursorama.com/build/foot40bb893c2b5b51f6059f.js (2)
[0214/205902.705:INFO:CONSOLE(10)] "[GPT] Div ID passed to googletag.display() does not match any defined slots: brs-gpt-ad-floating-1000x700.", source: https://securepubads.g.doubleclick.net/gpt/pubads_impl_2023020901.js (10)
[0214/205902.706:INFO:CONSOLE(10)] "[GPT] Div ID passed to googletag.display() does not match any defined slots: brs-gpt-ad-overlay-320x100.", source: https://securepubads.g.doubleclick.net/gpt/pubads_impl_2023020901.js (10)
[0214/205902.707:INFO:CONSOLE(10)] "TypeError: (0 , C.J)(...) is not a function", source: https://securepubads.g.doubleclick.net/gpt/pubads_impl_2023020901.js (10)
[0214/205903.226:INFO:CONSOLE(2)] "JQMIGRATE: Migrate is installed with logging active, version 3.0.0", source: https://www.boursorama.com/build/foot40bb893c2b5b51f6059f.js (2)
[0214/205903.229:INFO:CONSOLE(2)] "JQMIGRATE: jQuery.fn.bind() is deprecated", source: https://www.boursorama.com/build/foot40bb893c2b5b51f6059f.js (2)
[0214/205903.229:INFO:CONSOLE(2)] "console.trace", source: https://www.boursorama.com/build/foot40bb893c2b5b51f6059f.js (2)
[0214/205903.415:INFO:CONSOLE(2)] "JQMIGRATE: jQuery.fn.offset() requires a valid DOM element", source: https://www.boursorama.com/build/foot40bb893c2b5b51f6059f.js (2)
[0214/205903.415:INFO:CONSOLE(2)] "console.trace", source: https://www.boursorama.com/build/foot40bb893c2b5b51f6059f.js (2)
[0214/205903.565:INFO:CONSOLE(10)] "[GPT] Div ID passed to googletag.display() does not match any defined slots: brs-gpt-ad-floating-1000x700.", source: https://securepubads.g.doubleclick.net/gpt/pubads_impl_2023020901.js (10)
[0214/205903.565:INFO:CONSOLE(10)] "[GPT] Div ID passed to googletag.display() does not match any defined slots: brs-gpt-ad-overlay-320x100.", source: https://securepubads.g.doubleclick.net/gpt/pubads_impl_2023020901.js (10)
[0214/205904.249:INFO:CONSOLE(2)] "JQMIGRATE: Migrate is installed with logging active, version 3.0.0", source: https://www.boursorama.com/build/foot40bb893c2b5b51f6059f.js (2)
[0214/205904.252:INFO:CONSOLE(2)] "JQMIGRATE: jQuery.fn.bind() is deprecated", source: https://www.boursorama.com/build/foot40bb893c2b5b51f6059f.js (2)
[0214/205904.252:INFO:CONSOLE(2)] "console.trace", source: https://www.boursorama.com/build/foot40bb893c2b5b51f6059f.js (2)
[0214/205904.411:INFO:CONSOLE(2)] "JQMIGRATE: jQuery.fn.offset() requires a valid DOM element", source: https://www.boursorama.com/build/foot40bb893c2b5b51f6059f.js (2)
[0214/205904.411:INFO:CONSOLE(2)] "console.trace", source: https://www.boursorama.com/build/foot40bb893c2b5b51f6059f.js (2)
[0214/205904.527:INFO:CONSOLE(10)] "[GPT] Div ID passed to googletag.display() does not match any defined slots: brs-gpt-ad-floating-1000x700.", source: https://securepubads.g.doubleclick.net/gpt/pubads_impl_2023020901.js (10)
[0214/205904.527:INFO:CONSOLE(10)] "[GPT] Div ID passed to googletag.display() does not match any defined slots: brs-gpt-ad-overlay-320x100.", source: https://securepubads.g.doubleclick.net/gpt/pubads_impl_2023020901.js (10)
[0214/205905.173:INFO:CONSOLE(2)] "JQMIGRATE: Migrate is installed with logging active, version 3.0.0", source: https://www.boursorama.com/build/foot40bb893c2b5b51f6059f.js (2)
[0214/205905.175:INFO:CONSOLE(2)] "JQMIGRATE: jQuery.fn.bind() is deprecated", source: https://www.boursorama.com/build/foot40bb893c2b5b51f6059f.js (2)
[0214/205905.176:INFO:CONSOLE(2)] "console.trace", source: https://www.boursorama.com/build/foot40bb893c2b5b51f6059f.js (2)
